game,2014,9,20141102,201411020cle,tam,"Tampa Bay Buccaneers",17,cle,"Cleveland Browns",22
player,201411020cle,tam,BankJo00,fumbles_rec_td,0,,,,,
player,201411020cle,tam,BankJo00,fumbles_forced,0,,,,,
player,201411020cle,tam,McCoGe99,def_int,0,,,,,
player,201411020cle,tam,McCoGe99,def_int_yds,0,,,,,
player,201411020cle,tam,McCoGe99,def_int_td,0,,,,,
player,201411020cle,tam,McCoGe99,def_int_long,0,,,,,
player,201411020cle,tam,McCoGe99,pass_defended,0,,,,,
player,201411020cle,tam,McCoGe99,sacks,2.0,,,,,
player,201411020cle,tam,McCoGe99,tackles_combined,2,,,,,
player,201411020cle,tam,McCoGe99,tackles_solo,2,,,,,
player,201411020cle,tam,McCoGe99,tackles_assists,0,,,,,
player,201411020cle,tam,McCoGe99,tackles_loss,2,,,,,
player,201411020cle,tam,McCoGe99,qb_hits,2,,,,,
player,201411020cle,tam,McCoGe99,fumbles_rec,0,,,,,
player,201411020cle,tam,McCoGe99,fumbles_rec_yds,0,,,,,
player,201411020cle,tam,McCoGe99,fumbles_rec_td,0,,,,,
player,201411020cle,tam,McCoGe99,fumbles_forced,0,,,,,
player,201411020cle,tam,SpenAk00,def_int,0,,,,,
player,201411020cle,tam,SpenAk00,def_int_yds,0,,,,,
player,201411020cle,tam,SpenAk00,def_int_td,0,,,,,
player,201411020cle,tam,SpenAk00,def_int_long,0,,,,,
player,201411020cle,tam,SpenAk00,pass_defended,0,,,,,
player,201411020cle,tam,SpenAk00,sacks,1.0,,,,,
player,201411020cle,tam,SpenAk00,tackles_combined,4,,,,,
player,201411020cle,tam,SpenAk00,tackles_solo,3,,,,,
player,201411020cle,tam,SpenAk00,tackles_assists,1,,,,,
player,201411020cle,tam,SpenAk00,tackles_loss,2,,,,,
player,201411020cle,tam,SpenAk00,qb_hits,1,,,,,
player,201411020cle,tam,SpenAk00,fumbles_rec,0,,,,,
player,201411020cle,tam,SpenAk00,fumbles_rec_yds,0,,,,,
player,201411020cle,tam,SpenAk00,fumbles_rec_td,0,,,,,
player,201411020cle,tam,SpenAk00,fumbles_forced,0,,,,,
player,201411020cle,tam,SmitJa01,def_int,0,,,,,
player,201411020cle,tam,SmitJa01,def_int_yds,0,,,,,
player,201411020cle,tam,SmitJa01,def_int_td,0,,,,,
player,201411020cle,tam,SmitJa01,def_int_long,0,,,,,
player,201411020cle,tam,SmitJa01,pass_defended,0,,,,,
player,201411020cle,tam,SmitJa01,sacks,1.0,,,,,
player,201411020cle,tam,SmitJa01,tackles_combined,1,,,,,
player,201411020cle,tam,SmitJa01,tackles_solo,1,,,,,
player,201411020cle,tam,SmitJa01,tackles_assists,0,,,,,
player,201411020cle,tam,SmitJa01,tackles_loss,1,,,,,
player,201411020cle,tam,SmitJa01,qb_hits,1,,,,,
player,201411020cle,tam,SmitJa01,fumbles_rec,0,,,,,
player,201411020cle,tam,SmitJa01,fumbles_rec_yds,0,,,,,
player,201411020cle,tam,SmitJa01,fumbles_rec_td,0,,,,,
player,201411020cle,tam,SmitJa01,fumbles_forced,0,,,,,
player,201411020cle,tam,WrigMa99,def_int,0,,,,,
player,201411020cle,tam,WrigMa99,def_int_yds,0,,,,,
player,201411020cle,tam,WrigMa99,def_int_td,0,,,,,
player,201411020cle,tam,WrigMa99,def_int_long,0,,,,,
player,201411020cle,tam,WrigMa99,pass_defended,0,,,,,
player,201411020cle,tam,WrigMa99,sacks,0.0,,,,,
player,201411020cle,tam,WrigMa99,tackles_combined,13,,,,,
player,201411020cle,tam,WrigMa99,tackles_solo,7,,,,,
player,201411020cle,tam,WrigMa99,tackles_assists,6,,,,,
player,201411020cle,tam,WrigMa99,tackles_loss,1,,,,,
player,201411020cle,tam,WrigMa99,qb_hits,0,,,,,
player,201411020cle,tam,WrigMa99,fumbles_rec,0,,,,,
player,201411020cle,tam,WrigMa99,fumbles_rec_yds,0,,,,,
player,201411020cle,tam,WrigMa99,fumbles_rec_td,0,,,,,
player,201411020cle,tam,WrigMa99,fumbles_forced,0,,,,,
player,201411020cle,tam,DaviLa00,def_int,0,,,,,
player,201411020cle,tam,DaviLa00,def_int_yds,0,,,,,
player,201411020cle,tam,DaviLa00,def_int_td,0,,,,,
player,201411020cle,tam,DaviLa00,def_int_long,0,,,,,
player,201411020cle,tam,DaviLa00,pass_defended,0,,,,,
player,201411020cle,tam,DaviLa00,sacks,0.0,,,,,
player,201411020cle,tam,DaviLa00,tackles_combined,9,,,,,
player,201411020cle,tam,DaviLa00,tackles_solo,3,,,,,
player,201411020cle,tam,DaviLa00,tackles_assists,6,,,,,
