game,2014,12,20141123,201411230atl,cle,"Cleveland Browns",26,atl,"Atlanta Falcons",24
player,201411230atl,cle,HadeJo99,qb_hits,0,,,,,
player,201411230atl,cle,HadeJo99,fumbles_rec,0,,,,,
player,201411230atl,cle,HadeJo99,fumbles_rec_yds,0,,,,,
player,201411230atl,cle,HadeJo99,fumbles_rec_td,0,,,,,
player,201411230atl,cle,HadeJo99,fumbles_forced,0,,,,,
player,201411230atl,cle,KrugPa99,def_int,0,,,,,
player,201411230atl,cle,KrugPa99,def_int_yds,0,,,,,
player,201411230atl,cle,KrugPa99,def_int_td,0,,,,,
player,201411230atl,cle,KrugPa99,def_int_long,0,,,,,
player,201411230atl,cle,KrugPa99,pass_defended,0,,,,,
player,201411230atl,cle,KrugPa99,sacks,2.0,,,,,
player,201411230atl,cle,KrugPa99,tackles_combined,3,,,,,
player,201411230atl,cle,KrugPa99,tackles_solo,3,,,,,
