game,2017,11,20171119,201711190htx,crd,"Arizona Cardinals",21,htx,"Houston Texans",31
player,201711190htx,htx,AndeSt01,pass_cmp,0,,,,,
player,201711190htx,htx,AndeSt01,pass_att,0,,,,,
player,201711190htx,htx,AndeSt01,pass_yds,0,,,,,
player,201711190htx,htx,AndeSt01,pass_td,0,,,,,
player,201711190htx,htx,AndeSt01,pass_int,0,,,,,
player,201711190htx,htx,AndeSt01,pass_sacked,0,,,,,
player,201711190htx,htx,AndeSt01,pass_sacked_yds,0,,,,,
player,201711190htx,htx,AndeSt01,pass_long,0,,,,,
player,201711190htx,htx,AndeSt01,pass_rating,,,,,,
player,201711190htx,htx,AndeSt01,rush_att,0,,,,,
player,201711190htx,htx,AndeSt01,rush_yds,0,,,,,
player,201711190htx,htx,AndeSt01,rush_td,0,,,,,
player,201711190htx,htx,AndeSt01,rush_long,0,,,,,
player,201711190htx,htx,AndeSt01,targets,3,,,,,
player,201711190htx,htx,AndeSt01,rec,1,,,,,
player,201711190htx,htx,AndeSt01,rec_yds,22,,,,,
player,201711190htx,htx,AndeSt01,rec_td,0,,,,,
player,201711190htx,htx,AndeSt01,rec_long,22,,,,,
player,201711190htx,htx,AndeSt01,fumbles,0,,,,,
player,201711190htx,htx,AndeSt01,fumbles_lost,0,,,,,
player,201711190htx,htx,FiedC.00,pass_cmp,0,,,,,
player,201711190htx,htx,FiedC.00,pass_att,0,,,,,
player,201711190htx,htx,FiedC.00,pass_yds,0,,,,,
player,201711190htx,htx,FiedC.00,pass_td,0,,,,,
player,201711190htx,htx,FiedC.00,pass_int,0,,,,,
player,201711190htx,htx,FiedC.00,pass_sacked,0,,,,,
player,201711190htx,htx,FiedC.00,pass_sacked_yds,0,,,,,
player,201711190htx,htx,FiedC.00,pass_long,0,,,,,
player,201711190htx,htx,FiedC.00,pass_rating,,,,,,
player,201711190htx,htx,FiedC.00,rush_att,0,,,,,
player,201711190htx,htx,FiedC.00,rush_yds,0,,,,,
player,201711190htx,htx,FiedC.00,rush_td,0,,,,,
player,201711190htx,htx,FiedC.00,rush_long,0,,,,,
player,201711190htx,htx,FiedC.00,targets,2,,,,,
player,201711190htx,htx,FiedC.00,rec,2,,,,,
player,201711190htx,htx,FiedC.00,rec_yds,18,,,,,
player,201711190htx,htx,FiedC.00,rec_td,0,,,,,
player,201711190htx,htx,FiedC.00,rec_long,10,,,,,
player,201711190htx,htx,FiedC.00,fumbles,0,,,,,
player,201711190htx,htx,FiedC.00,fumbles_lost,0,,,,,
player,201711190htx,htx,MillBr03,pass_cmp,0,,,,,
player,201711190htx,htx,MillBr03,pass_att,0,,,,,
player,201711190htx,htx,MillBr03,pass_yds,0,,,,,
player,201711190htx,htx,MillBr03,pass_td,0,,,,,
player,201711190htx,htx,MillBr03,pass_int,0,,,,,
player,201711190htx,htx,MillBr03,pass_sacked,0,,,,,
player,201711190htx,htx,MillBr03,pass_sacked_yds,0,,,,,
player,201711190htx,htx,MillBr03,pass_long,0,,,,,
player,201711190htx,htx,MillBr03,pass_rating,,,,,,
player,201711190htx,htx,MillBr03,rush_att,0,,,,,
player,201711190htx,htx,MillBr03,rush_yds,0,,,,,
player,201711190htx,htx,MillBr03,rush_td,0,,,,,
player,201711190htx,htx,MillBr03,rush_long,0,,,,,
player,201711190htx,htx,MillBr03,targets,3,,,,,
player,201711190htx,htx,MillBr03,rec,2,,,,,
player,201711190htx,htx,MillBr03,rec_yds,14,,,,,
player,201711190htx,htx,MillBr03,rec_td,0,,,,,
player,201711190htx,htx,MillBr03,rec_long,11,,,,,
player,201711190htx,htx,MillBr03,fumbles,0,,,,,
player,201711190htx,htx,MillBr03,fumbles_lost,0,,,,,
player,201711190htx,crd,PetePa00,def_int,1,,,,,
player,201711190htx,crd,PetePa00,def_int_yds,22,,,,,
player,201711190htx,crd,PetePa00,def_int_td,0,,,,,
player,201711190htx,crd,PetePa00,def_int_long,22,,,,,
player,201711190htx,crd,PetePa00,pass_defended,3,,,,,
player,201711190htx,crd,PetePa00,sacks,0.0,,,,,
player,201711190htx,crd,PetePa00,tackles_combined,2,,,,,
player,201711190htx,crd,PetePa00,tackles_solo,2,,,,,
player,201711190htx,crd,PetePa00,tackles_assists,0,,,,,
player,201711190htx,crd,PetePa00,tackles_loss,0,,,,,
player,201711190htx,crd,PetePa00,qb_hits,0,,,,,
player,201711190htx,crd,PetePa00,fumbles_rec,0,,,,,
player,201711190htx,crd,PetePa00,fumbles_rec_yds,0,,,,,
player,201711190htx,crd,PetePa00,fumbles_rec_td,0,,,,,
player,201711190htx,crd,PetePa00,fumbles_forced,0,,,,,
player,201711190htx,crd,BakeBu00,def_int,0,,,,,
player,201711190htx,crd,BakeBu00,def_int_yds,0,,,,,
player,201711190htx,crd,BakeBu00,def_int_td,0,,,,,
player,201711190htx,crd,BakeBu00,def_int_long,0,,,,,
player,201711190htx,crd,BakeBu00,pass_defended,2,,,,,
player,201711190htx,crd,BakeBu00,sacks,1.0,,,,,
player,201711190htx,crd,BakeBu00,tackles_combined,13,,,,,
player,201711190htx,crd,BakeBu00,tackles_solo,11,,,,,
player,201711190htx,crd,BakeBu00,tackles_assists,2,,,,,
player,201711190htx,crd,BakeBu00,tackles_loss,1,,,,,
player,201711190htx,crd,BakeBu00,qb_hits,1,,,,,
player,201711190htx,crd,BakeBu00,fumbles_rec,1,,,,,
player,201711190htx,crd,BakeBu00,fumbles_rec_yds,0,,,,,
player,201711190htx,crd,BakeBu00,fumbles_rec_td,0,,,,,
player,201711190htx,crd,BakeBu00,fumbles_forced,2,,,,,
player,201711190htx,crd,BucaDe00,def_int,0,,,,,
player,201711190htx,crd,BucaDe00,def_int_yds,0,,,,,
player,201711190htx,crd,BucaDe00,def_int_td,0,,,,,
player,201711190htx,crd,BucaDe00,def_int_long,0,,,,,
player,201711190htx,crd,BucaDe00,pass_defended,1,,,,,
player,201711190htx,crd,BucaDe00,sacks,0.0,,,,,
player,201711190htx,crd,BucaDe00,tackles_combined,13,,,,,
player,201711190htx,crd,BucaDe00,tackles_solo,9,,,,,
player,201711190htx,crd,BucaDe00,tackles_assists,4,,,,,
player,201711190htx,crd,BucaDe00,tackles_loss,1,,,,,
player,201711190htx,crd,BucaDe00,qb_hits,0,,,,,
player,201711190htx,crd,BucaDe00,fumbles_rec,0,,,,,
player,201711190htx,crd,BucaDe00,fumbles_rec_yds,0,,,,,
