game,2017,1,20170910,201709100det,crd,"Arizona Cardinals",23,det,"Detroit Lions",35
player,201709100det,crd,BethJu00,fumbles_forced,0,,,,,
player,201709100det,crd,JoneCh03,def_int,0,,,,,
player,201709100det,crd,JoneCh03,def_int_yds,0,,,,,
player,201709100det,crd,JoneCh03,def_int_td,0,,,,,
player,201709100det,crd,JoneCh03,def_int_long,0,,,,,
player,201709100det,crd,JoneCh03,pass_defended,0,,,,,
player,201709100det,crd,JoneCh03,sacks,1.0,,,,,
player,201709100det,crd,JoneCh03,tackles_combined,3,,,,,
player,201709100det,crd,JoneCh03,tackles_solo,3,,,,,
player,201709100det,crd,JoneCh03,tackles_assists,0,,,,,
player,201709100det,crd,JoneCh03,tackles_loss,3,,,,,
player,201709100det,crd,JoneCh03,qb_hits,2,,,,,
player,201709100det,crd,JoneCh03,fumbles_rec,0,,,,,
player,201709100det,crd,JoneCh03,fumbles_rec_yds,0,,,,,
player,201709100det,crd,JoneCh03,fumbles_rec_td,0,,,,,
player,201709100det,crd,JoneCh03,fumbles_forced,0,,,,,
player,201709100det,crd,BranTy99,def_int,0,,,,,
player,201709100det,crd,BranTy99,def_int_yds,0,,,,,
player,201709100det,crd,BranTy99,def_int_td,0,,,,,
player,201709100det,crd,BranTy99,def_int_long,0,,,,,
player,201709100det,crd,BranTy99,pass_defended,2,,,,,
player,201709100det,crd,BranTy99,sacks,0.0,,,,,
player,201709100det,crd,BranTy99,tackles_combined,11,,,,,
player,201709100det,crd,BranTy99,tackles_solo,10,,,,,
player,201709100det,crd,BranTy99,tackles_assists,1,,,,,
player,201709100det,crd,BranTy99,tackles_loss,0,,,,,
player,201709100det,crd,BranTy99,qb_hits,0,,,,,
player,201709100det,crd,BranTy99,fumbles_rec,0,,,,,
player,201709100det,crd,BranTy99,fumbles_rec_yds,0,,,,,
player,201709100det,crd,BranTy99,fumbles_rec_td,0,,,,,
player,201709100det,crd,BranTy99,fumbles_forced,0,,,,,
player,201709100det,crd,ReddHa00,def_int,0,,,,,
player,201709100det,crd,ReddHa00,def_int_yds,0,,,,,
player,201709100det,crd,ReddHa00,def_int_td,0,,,,,
player,201709100det,crd,ReddHa00,def_int_long,0,,,,,
player,201709100det,crd,ReddHa00,pass_defended,0,,,,,
player,201709100det,crd,ReddHa00,sacks,0.0,,,,,
player,201709100det,crd,ReddHa00,tackles_combined,8,,,,,
player,201709100det,crd,ReddHa00,tackles_solo,6,,,,,
player,201709100det,crd,ReddHa00,tackles_assists,2,,,,,
player,201709100det,crd,ReddHa00,tackles_loss,1,,,,,
player,201709100det,crd,ReddHa00,qb_hits,0,,,,,
player,201709100det,crd,ReddHa00,fumbles_rec,0,,,,,
player,201709100det,crd,ReddHa00,fumbles_rec_yds,0,,,,,
player,201709100det,crd,ReddHa00,fumbles_rec_td,0,,,,,
player,201709100det,crd,ReddHa00,fumbles_forced,0,,,,,
player,201709100det,crd,DansKa20,def_int,0,,,,,
player,201709100det,crd,DansKa20,def_int_yds,0,,,,,
player,201709100det,crd,DansKa20,def_int_td,0,,,,,
player,201709100det,crd,DansKa20,def_int_long,0,,,,,
player,201709100det,crd,DansKa20,pass_defended,0,,,,,
player,201709100det,crd,DansKa20,sacks,0.0,,,,,
