game,2011,15,20111219,201112190sfo,pit,"Pittsburgh Steelers",3,sfo,"San Francisco 49ers",20
player,201112190sfo,pit,PolaTr99,pass_defended,0,,,,,
player,201112190sfo,pit,PolaTr99,sacks,0.0,,,,,
player,201112190sfo,pit,PolaTr99,tackles_combined,7,,,,,
player,201112190sfo,pit,PolaTr99,tackles_solo,7,,,,,
player,201112190sfo,pit,PolaTr99,tackles_assists,0,,,,,
player,201112190sfo,pit,PolaTr99,tackles_loss,0,,,,,
player,201112190sfo,pit,PolaTr99,qb_hits,0,,,,,
player,201112190sfo,pit,PolaTr99,fumbles_rec,0,,,,,
player,201112190sfo,pit,PolaTr99,fumbles_rec_yds,0,,,,,
player,201112190sfo,pit,PolaTr99,fumbles_rec_td,0,,,,,
player,201112190sfo,pit,PolaTr99,fumbles_forced,0,,,,,
player,201112190sfo,pit,TimmLa99,def_int,0,,,,,
player,201112190sfo,pit,TimmLa99,def_int_yds,0,,,,,
player,201112190sfo,pit,TimmLa99,def_int_td,0,,,,,
player,201112190sfo,pit,TimmLa99,def_int_long,0,,,,,
player,201112190sfo,pit,TimmLa99,pass_defended,0,,,,,
player,201112190sfo,pit,TimmLa99,sacks,0.0,,,,,
