game,2010,11,20101121,201011210jax,cle,"Cleveland Browns",20,jax,"Jacksonville Jaguars",24
player,201011210jax,cle,HadeJo99,tackles_combined,3,,,,,
player,201011210jax,cle,HadeJo99,tackles_solo,3,,,,,
player,201011210jax,cle,HadeJo99,tackles_assists,0,,,,,
player,201011210jax,cle,HadeJo99,tackles_loss,0,,,,,
player,201011210jax,cle,HadeJo99,qb_hits,0,,,,,
player,201011210jax,cle,HadeJo99,fumbles_rec,0,,,,,
player,201011210jax,cle,HadeJo99,fumbles_rec_yds,0,,,,,
player,201011210jax,cle,HadeJo99,fumbles_rec_td,0,,,,,
player,201011210jax,cle,HadeJo99,fumbles_forced,0,,,,,
player,201011210jax,cle,RubiAh99,def_int,0,,,,,
player,201011210jax,cle,RubiAh99,def_int_yds,0,,,,,
player,201011210jax,cle,RubiAh99,def_int_td,0,,,,,
player,201011210jax,cle,RubiAh99,def_int_long,0,,,,,
player,201011210jax,cle,RubiAh99,pass_defended,0,,,,,
player,201011210jax,cle,RubiAh99,sacks,1.0,,,,,
player,201011210jax,cle,RubiAh99,tackles_combined,5,,,,,
player,201011210jax,cle,RubiAh99,tackles_solo,5,,,,,
player,201011210jax,cle,RubiAh99,tackles_assists,0,,,,,
player,201011210jax,cle,RubiAh99,tackles_loss,1,,,,,
player,201011210jax,cle,RubiAh99,qb_hits,1,,,,,
player,201011210jax,cle,RubiAh99,fumbles_rec,0,,,,,
player,201011210jax,cle,RubiAh99,fumbles_rec_yds,0,,,,,
player,201011210jax,cle,RubiAh99,fumbles_rec_td,0,,,,,
player,201011210jax,cle,RubiAh99,fumbles_forced,0,,,,,
player,201011210jax,cle,ColeKe20,def_int,0,,,,,
player,201011210jax,cle,ColeKe20,def_int_yds,0,,,,,
player,201011210jax,cle,ColeKe20,def_int_td,0,,,,,
player,201011210jax,cle,ColeKe20,def_int_long,0,,,,,
player,201011210jax,cle,ColeKe20,pass_defended,0,,,,,
player,201011210jax,cle,ColeKe20,sacks,1.0,,,,,
player,201011210jax,cle,ColeKe20,tackles_combined,2,,,,,
player,201011210jax,cle,ColeKe20,tackles_solo,2,,,,,
player,201011210jax,cle,ColeKe20,tackles_assists,0,,,,,
player,201011210jax,cle,ColeKe20,tackles_loss,1,,,,,
player,201011210jax,cle,ColeKe20,qb_hits,1,,,,,
player,201011210jax,cle,ColeKe20,fumbles_rec,0,,,,,
player,201011210jax,cle,ColeKe20,fumbles_rec_yds,0,,,,,
player,201011210jax,cle,ColeKe20,fumbles_rec_td,0,,,,,
player,201011210jax,cle,ColeKe20,fumbles_forced,0,,,,,
player,201011210jax,cle,BenaMa00,def_int,0,,,,,
player,201011210jax,cle,BenaMa00,def_int_yds,0,,,,,
player,201011210jax,cle,BenaMa00,def_int_td,0,,,,,
player,201011210jax,cle,BenaMa00,def_int_long,0,,,,,
player,201011210jax,cle,BenaMa00,pass_defended,0,,,,,
player,201011210jax,cle,BenaMa00,sacks,1.0,,,,,
player,201011210jax,cle,BenaMa00,tackles_combined,1,,,,,
